Rating,No_of_ratings,Name,specs0,specs1,specs2,specs3,specs4,specs5,specs6,specs7,specs8,specs9,specs10,specs11,specs12,specs13,specs14,specs15,specs16,specs17,specs18,specs19,specs20,specs21,specs22,specs23,specs24,specs25,specs26,specs27,specs28,specs29,specs30,specs31,specs32,specs33,specs34,specs35
null,null,Key Specs & Features of HP 15-ec0043ax (8XS82PA) (Ryzen 5 8GB 1TB HDD 4GB Graphics Windows 10), Windows 10 Home Basic , 15.6 inch(39.62 cm) , 1920 x 1080 pixels , LED , Diagonal IPS anti-glare micro-edge WLED- backlit Display , No , AMD Quad-Core Ryzen 5 , 3550H , 2.1GHz , 6 MB , NVIDIA Geforce GTX 1650 , 4 GB , 8GB ,2, DDR4 , 2400MHz , HDD SATA , 1TB , 1.98 Kg , 360 x 257 x 23.5 , Shadow Black , 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 1 "," Yes, 802.11 a/b/g/n/ac "," Yes, 5.0 ", No ," Yes, 1 ", Headphone + Microphone Combo Jack , 150 W AC Adapter W , 3 Cell , Li-Ion ,null, Touchpad with Multi-Touch Gestures Enabled ," Full-Size, Island-Style, Ultra Violet Backlit, Shadow Black Keyboard ", No 
3.9,"2,175 Ratings",Key Specs & Features of Dell 15 3581 (C553103WIN9) (Intel Core i3 (7th Gen) 4GB 1TB HDD Windows 10), Windows 10 Home Basic , 15.6 inch(39.62 cm) , 1366 x 768 pixels , LED , LED Backlit Anti-glare Display , No , Intel Core i3 (7th Gen) , 7020U , 2.3GHz , 3 MB , Intel HD 620 , 4GB , Up to 16GB ,1, DDR4 , 2400MHz , HDD SATA , 1TB , 2.4 Kg , 380 x 258 x 22.7 , Black , 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 1 "," Yes, 802.11 a/b/g/n/ac "," Yes, 4.1 ", No , Yes , Headphone + Microphone Combo Jack , 42 W AC Adapter W , 3 Cell , Li-Ion ,null, Touchpad with multi-touch gesture support , Standard Notebook Keyboard , No 
4.5,"1,947 Ratings",Key Specs & Features of HP 15-ec0062AX (9LA60PA) (Ryzen 5 8GB 1TB HDD 3GB Graphics Windows 10), Windows 10 Home Basic , 15.6 inch(39.62 cm) , 1920 x 1080 pixels , LED , WLED Backlit Anti-glare IPS Narrow Bezel 60 Hz Refresh Rate Display , No , AMD Quad-Core Ryzen 5 , 3550H , 2.1GHz , 6 MB , NVIDIA Geforce GTX 1050 , 3 GB , 8GB ,1, DDR4 , 2400MHz , HDD SATA , 1TB , 1.98 Kg , 360 x 257 x 23.5 , Shadow Black , 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 1 "," Yes, 802.11 a/b/g/n/ac "," Yes, 5.0 ", No ," Yes, 1 ", Headphone + Microphone Combo Jack , 135 W AC Adapter W , 3 Cell , Li-Ion ,null, HP Imagepad with multi-touch gesture support , Full-size Island-style Ultra Violet Backlit Keyboard with Numeric Keypad , No 
4.4,"1,433 Ratings",Key Specs & Features of Dell 15 3579 (B560107WIN9) (Intel Core i5 (8th Gen) 8GB 1TB HDD 4GB Graphics Windows 10), Windows 10 Home Basic , 15.6 inch(39.62 cm) , 1920 x 1080 pixels , LED , LED Anti-Glare LED Backlit Display , No , Intel Core i5 (8th Gen) , 8300H , 2.3GHz , 8 MB , NVIDIA GeForce GTX 1050 , 4 GB , 8GB ,1, DDR4 , 2666MHz , HDD SATA , 1TB , 2.53 Kg , 380 x 258 x 22.7 , Licroice Black , 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 1 "," Yes, 802.11 a/b/g/n/ac "," Yes, 5.0 ", No , Yes , Headphone + Microphone Combo Jack , 56 W AC Adapter W , 4 Cell , Li-Ion ,null, Touchpad with Multi-touch Gesture Support ," Backlit full-size, spill-resistant keyboard with numeric keypad ", No 
4.5,"1,947 Ratings",Key Specs & Features of HP 15-ec0062AX (9LA60PA) (Ryzen 5 8GB 1TB HDD 3GB Graphics Windows 10), Windows 10 Home Basic , 15.6 inch(39.62 cm) , 1920 x 1080 pixels , LED , WLED Backlit Anti-glare IPS Narrow Bezel 60 Hz Refresh Rate Display , No , AMD Quad-Core Ryzen 5 , 3550H , 2.1GHz , 6 MB , NVIDIA Geforce GTX 1050 , 3 GB , 8GB ,1, DDR4 , 2400MHz , HDD SATA , 1TB , 1.98 Kg , 360 x 257 x 23.5 , Shadow Black , 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 1 "," Yes, 802.11 a/b/g/n/ac "," Yes, 5.0 ", No ," Yes, 1 ", Headphone + Microphone Combo Jack , 135 W AC Adapter W , 3 Cell , Li-Ion ,null, HP Imagepad with multi-touch gesture support , Full-size Island-style Ultra Violet Backlit Keyboard with Numeric Keypad , No 
4.4,"1,433 Ratings",Key Specs & Features of Dell 15 3579 (B560107WIN9) (Intel Core i5 (8th Gen) 8GB 1TB HDD 4GB Graphics Windows 10), Windows 10 Home Basic , 15.6 inch(39.62 cm) , 1920 x 1080 pixels , LED , LED Anti-Glare LED Backlit Display , No , Intel Core i5 (8th Gen) , 8300H , 2.3GHz , 8 MB , NVIDIA GeForce GTX 1050 , 4 GB , 8GB ,1, DDR4 , 2666MHz , HDD SATA , 1TB , 2.53 Kg , 380 x 258 x 22.7 , Licroice Black , 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 1 "," Yes, 802.11 a/b/g/n/ac "," Yes, 5.0 ", No , Yes , Headphone + Microphone Combo Jack , 56 W AC Adapter W , 4 Cell , Li-Ion ,null, Touchpad with Multi-touch Gesture Support ," Backlit full-size, spill-resistant keyboard with numeric keypad ", No 
4.4,73 Ratings,Key Specs & Features of Lenovo 5i (82AU00KEIN) (Intel Core i5 (10th Gen) 8GB 1TB HDD 4GB Graphics Windows 10), Windows 10 Home Basic , 15.6 inch(39.62 cm) , 1920 x 1080 pixels , LED , LED Anti-glare Display , No , Intel Core i5 (10th Gen) , 10300H , 2.5GHz , 8 MB , NVIDIA Geforce GTX 1650 , 4 GB , 8GB ,1, DDR4 , 2933MHz , HDD SATA , 1TB , 2.3 Kg , 363.06 x 259.61 x 23.5 , Black , 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 4 "," Yes, 802.11 b/g/n/ax "," Yes, 5.0 ", No ," Yes, 1 ", Headphone + Microphone Combo Jack ,null, 4 Cell , Li-Ion ,null, Touchpad with Multi-Touch Gestures Enabled , Standard Notebook Keyboard , No 
4,67 Ratings,Key Specs & Features of Asus X507UA-EJ313T (Intel Core i3 (7th Gen) 4GB 1TB HDD Windows 10), Windows 10 Home Basic , 15.6 inch(39.62 cm) , 1920 x 1080 pixels , LED , LED Backlit IPS Display , No , Intel Core i3 (7th Gen) , 7020U , 2.3GHz , 3 MB , Intel HD 620 , 4GB , Up to 8GB ,1, DDR4 , 2400MHz , HDD SATA , 1TB , 1.68 Kg , 365 x 266 x 21.9 , Gold , 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 2 "," Yes, 802.11 a/b/g/n/ac "," Yes, 4.0 ", No , No , Headphone + Microphone Combo Jack , 33 W AC Adapter W , 3 Cell , Li-Ion ,null, Touchpad with Multi-Touch Gestures Enabled , Chiclet Keyboard , No 
4.1,206 Ratings,Key Specs & Features of HP 15-dk0263TX (167W2PA) (Intel Core i5 (9th Gen) 8GB 1TB HDD 4GB Graphics Windows 10), Windows 10 Home Basic , 15.6 inch(39.62 cm) , 1920 x 1080 pixels , LED ," Diagonal IPS anti-glare micro-edge WLED-backlit, 250 nits, 45% NTSC Display ", No , Intel Core i5 (9th Gen) , 9300H , 2.4GHz , 8 MB , NVIDIA Geforce GTX 1650 , 4 GB , 8GB ,1, DDR4 , 2666MHz , HDD SATA , 1TB , 2.23 Kg , 360 x 256 x 23.4 , Shadow Black , 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 2 "," Yes, 802.11 a/b/g/n/ac "," Yes, 5.0 ", No ," Yes, 1 ", Headphone + Microphone Combo Jack , 52.5 W AC Adapter W , 3 Cell , Li-Ion ,null, Touchpad with Multi-Touch Gestures Enabled , Full-size island-style ghost white backlit keyboard with numeric keypad , No 
4.1,167 Ratings,Key Specs & Features of HP 15-dc0082tx (4RJ56PA) (Intel Core i7 (8th Gen) 8GB 1TB HDD 4GB Graphics Windows 10), Windows 10 Home Basic , 15.6 inch(39.62 cm) , 1920 x 1080 pixels , LED , Diagonal F IPS Anti-Glare Micro-edge WLED-backlit Display , No , Intel Core i7 (8th Gen) , 8750H , 2.2GHz , 9 MB , NVIDIA Geforce GTX 1050Ti , 4 GB , 8GB ,1, DDR4 , 2666MHz , HDD SATA , 1TB , 2.25 Kg , 360 x 263 x 25 , Black , 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 3 "," Yes, 802.11 a/b/g/n/ac "," Yes, 5.0 ", No , Yes , Headphone + Microphone Combo Jack , 52 W AC Adapter W , 3 Cell , Li-Ion ,null, Touchpad with Multi-touch Gesture Support , Full-size 4-zone lighting backlit keyboard with numeric keypad and NKRO , No 
4.1,167 Ratings,Key Specs & Features of HP 15-dc0082tx (4RJ56PA) (Intel Core i7 (8th Gen) 8GB 1TB HDD 4GB Graphics Windows 10), Windows 10 Home Basic , 15.6 inch(39.62 cm) , 1920 x 1080 pixels , LED , Diagonal F IPS Anti-Glare Micro-edge WLED-backlit Display , No , Intel Core i7 (8th Gen) , 8750H , 2.2GHz , 9 MB , NVIDIA Geforce GTX 1050Ti , 4 GB , 8GB ,1, DDR4 , 2666MHz , HDD SATA , 1TB , 2.25 Kg , 360 x 263 x 25 , Black , 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 3 "," Yes, 802.11 a/b/g/n/ac "," Yes, 5.0 ", No , Yes , Headphone + Microphone Combo Jack , 52 W AC Adapter W , 3 Cell , Li-Ion ,null, Touchpad with Multi-touch Gesture Support , Full-size 4-zone lighting backlit keyboard with numeric keypad and NKRO , No 
3.5,8 Ratings,Key Specs & Features of Asus M415DA-EB502TS (Ryzen 5 8GB 1TB HDD Windows 10), Windows 10 Home Basic , 14 inch(35.56 cm) , 1920 x 1080 pixels , LED , Anti-glare Display , No , AMD Quad-Core Ryzen 5 , 3500U , 2.1GHz , 6 MB , AMD Radeon Vega 8 , 8GB ,null,2, DDR4 , 2400MHz , HDD SATA , 1TB , 1.5 Kg , 325.4 x 216 x 19.9 , Transparent Silver , 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 2 "," Yes, 802.11 a/b/g/n/ac "," Yes, 5.0 ", No ," Yes, 1 ", Headphone + Microphone Combo Jack ,null, 2 Cell , Li-Po ,null, Touchpad with Multi-Touch Gestures Enabled , Standard Notebook Keyboard , No 
4.1,"1,888 Ratings",Key Specs & Features of Asus M509DA-EJ741T (Ryzen 3 4GB 1TB HDD Windows 10), Windows 10 Home Basic , 15.6 inch(39.62 cm) , 1920 x 1080 pixels , LED ," LED Backlit Anti-glare Display (200 nits Brightness, 45% NTSC, 83% Screen-to-body Ratio) ", No , AMD Dual-Core Ryzen 3 , 3250U , 2.6GHz , 5 MB , AMD Radeon , 4GB ,null,1, DDR4 , 2400MHz , HDD SATA , 1TB , 1.9 Kg , 360 x 235 x 22.9 , Slate Grey , 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 2 "," Yes, 802.11 a/b/g/n/ac "," Yes, 4.1 ", No ," Yes, 1 ", Headphone + Microphone Combo Jack , 45 W AC Adapter W , 2 Cell , Li-Ion ,null, Touchpad with Multi-Touch Gestures Enabled , Chiclet Keyboard , Yes 
3.8,75 Ratings,Key Specs & Features of Dell 15 3593 (D591457WIN10) (Intel Core i3 (10th Gen) 8GB 1TB HDD Windows 10), Windows 10 Home Basic , 15.6 inch(39.62 cm) , 1920 x 1080 pixels , LED , LED Backlit Anti-glare Display , No , Intel Core i3 (10th Gen) , 1005G1 , 1.2GHz , 4 MB , Intel UHD , 8GB ,null,2, DDR4 , 2666MHz , HDD SATA , 1TB , 2.20 Kg , 340 x 258 x 22 , Black , 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 1 "," Yes, 802.11 a/b/g/n/ac "," Yes, 5.0 ", No , Yes , Headphone + Microphone Combo Jack ,null, 3 Cell , Li-Ion ,null, Touchpad with Multi-Touch Gestures Enabled , English International Non Backlit Keyboard , No 
4,460 Ratings,Key Specs & Features of HP 15-bw548AU (4NZ61PA) (AMD E2 4GB 1TB HDD Windows 10), Windows 10 Home Basic , 15.6 inch(39.62 cm) , 1366 x 768 pixels , LED , Diagonal SVA BrightView WLED-Dacklit , No , AMD Dual-Core APU , 9000e , 2.5GHz , 1 MB , AMD Radeon R2 , 4GB ,null,1,null, 1866MHz , HDD SATA , 1TB , 1.86 Kg , 380 x 253.8 x 23.8 , Black , 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 1 "," Yes, 802.11 b/g/n "," Yes, 4.0 ", Yes, No , Headphone + Microphone Combo Jack , 45 W AC Adapter W , 4 Cell , Li-Ion ,null, Touchpad with Multi-Touch gesture Support , Full-size island-style keyboard , No 
4.1,211 Ratings,Key Specs & Features of HP 15s-du3047TX (30R86PA) (Intel Core i5 (11th Gen) 8GB 1TB HDD 2GB Graphics Windows 10), Windows 10 Home Basic , 15.6 inch(39.62 cm) , 1920 x 1080 pixels , LED ," LED Backlit Anti-glare IPS Micro-edge Display (250 nits Brightness, 141 ppi, 45% NTSC Color Gamut) ", No , Intel Core i5 (11th Gen) , 1135G7 , 4.2GHz , 8 MB , NVIDIA Geforce MX350 , 8GB , Up to 16GB ,1, DDR4 , 2666MHz , HDD SATA , 1TB , 1.83 Kg , 358 x 242 x 19.9 , Silver , 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 1 "," Yes, 802.11 a/b/g/n/ac "," Yes, 5.0 ", No ," Yes, 1 ", Headphone + Microphone Combo Jack ,null, 3 Cell , Li-Po ,null, Touchpad with Multi-Touch Gestures Enabled , Full-size Backlit Natural Silver Keyboard with Numeric Keypad , Yes 
3.7,3 Ratings,Key Specs & Features of HP 15-ec1021AX (183L9PA) (Ryzen 7 8GB 1TB HDD 4GB Graphics Windows 10), Windows 10 Home Basic , 15.6 inch(39.62 cm) , 1920 x 1080 pixels , LED ," WLED Backlit Anti-glare IPS Micro-edge Display (250 nits Brightness, 45% NTSC Color Gamut, 141 ppi) ", No , AMD Hexa-Core Ryzen 5 , 4600H , 3.0GHz , 11 MB , NVIDIA Geforce GTX 1650 , 8GB , Up to 16GB ,1, DDR4 , 3200MHz , HDD SATA , 1TB , 2.04 Kg , 360 x 257 x 23.5 , Shadow Black , 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 1 "," Yes, 802.11 b/g/n/ax "," Yes, 5.0 ", No ," Yes, 1 ", Headphone + Microphone Combo Jack , 150 W AC Adapter W , 3 Cell , Li-Po ,null, HP Imagepad with Multi-touch Gesture Support (Precision Touchpad Support) , Full-size island-style ultra violet Backlit keyboard with numeric keypad , No 
4.2,103 Ratings,Key Specs & Features of HP 15-ec1048AX (1N1G2PA) (Ryzen 7 8GB 1TB HDD 4GB Graphics Windows 10), Windows 10 Home Basic , 15.6 inch(39.62 cm) , 1920 x 1080 pixels , LED ," WLED Backlit Anti-glare IPS Micro-edge Display (250 nits Brightness, 45% NTSC Color Gamut, 141 ppi) ", No , AMD Hexa-Core Ryzen 5 , 4600H , 3.0GHz , 11 MB , NVIDIA Geforce GTX 1650 , 8GB , Up to 16GB ,1, DDR4 , 3200MHz , HDD SATA , 1TB , 1.98 Kg , 360 x 257 x 23.5 , Shadow Black , 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 1 "," Yes, 802.11 b/g/n/ax "," Yes, 5.0 ", No ," Yes, 1 ", Headphone + Microphone Combo Jack ,null, 3 Cell , Li-Po ,null, Touchpad with Multi-Touch Gestures Enabled , Full-size Island-style Ultra Violet Backlit Keyboard with Numeric Keypad , No 
4.6,91 Ratings,Key Specs & Features of HP 15-ec1050AX (1N1G4PA) (Ryzen 7 8GB 1TB HDD 4GB Graphics Windows 10), Windows 10 Home Basic , 15.6 inch(39.62 cm) , 1920 x 1080 pixels , LED ," WLED Backlit Anti-glare IPS Micro-edge Display (250 nits Brightness, 45% NTSC Color Gamut, 141 ppi) ", No , AMD Hexa-Core Ryzen 5 , 4600H , 3.0GHz , 11 MB , NVIDIA Geforce GTX 1650 Ti , 8GB , Up to 16GB ,1, DDR4 , 3200MHz , HDD SATA , 1TB , 2.19 Kg , 360 x 257 x 23.5 , Black , 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 1 "," Yes, 802.11 b/g/n/ax "," Yes, 5.0 ", No ," Yes, 1 ", Headphone + Microphone Combo Jack , 52.5 W AC Adapter W , 3 Cell , Li-Po ,null, Touchpad with Multi-Touch Gestures Enabled , Full-size Island-style Ultra Violet Backlit Keyboard with Numeric Keypad , No 
4,"1,588 Ratings",Key Specs & Features of Asus FX505DY-BQ002T (Ryzen 5 8GB 1TB HDD 4GB Graphics Windows 10), Windows 10 Home Basic , 15.6 inch(39.62 cm) , 1920 x 1080 pixels , LED , LED Backlit Anti-Glare IPS Display , No , AMD Quad-Core Ryzen 5 , 3550H , 2.1GHz , 4 MB , AMD Radeon RX 560X , 8GB , Up to 32GB , 2 SO-DIMM , DDR4 , 2400MHz , HDD SATA , 1TB , 2.22 Kg , 360.68 x 261.62 x 25.4 , Black , 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 1 "," Yes, 802.11 a/b/g/n/ac "," Yes, 4.2 ", No , No , Headphone + Microphone Combo Jack , 48 W AC Adapter W , 3 Cell , Li-Ion ,null, Touchpad with Multi-Touch Gestures Enabled , Backlit Gaming Keyboard , No 
4.3,527 Ratings,Key Specs & Features of Lenovo 320-15IKB (80XL040WIN) (Intel Core i5 (7th Gen) 8GB 2TB HDD 4GB Graphics ), DOS , 15.6 inch(39.62 cm) , 1366 x 768 pixels , LED , LED Backlit Display , No , Intel Core i5 (7th Gen) , 7200U , 2.5GHz , 3 MB , NVIDIA GeForce 940MX , 8GB , Up to 16GB ,1, DDR4 , 2133MHz , HDD SATA , 2TB , 2.2 Kg ,null, Black , 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 2 "," Yes, 802.11 a/b/g/n/ac "," Yes, 4.1 ", Yes , No , Headphone + Microphone Combo Jack , 65 W AC Adapter W , 2 Cell , Li-Ion ,null, Touchpad with Multi-touch Gesture Support , Standard Notebook Keyboard , No 
